evaluation_suite,example_id,inputs.question,case_type_codes,difficulty,inference_type,error,execution_time,outputs.is_sufficient,outputs.party_type,outputs.location,outputs.retrieval_query,outputs.missing_fields,outputs.follow_up_questions,outputs.search_metadata,reference.expected_is_sufficient,reference.expected_party_type,reference.expected_location,reference.expected_missing_fields,reference.expected_follow_up_questions_contain,reference.forbidden_filters,feedback.intake_is_sufficient,feedback.party_type_match,feedback.location_match,feedback.missing_fields_match,feedback.follow_up_contains,feedback.forbidden_filter_absent,feedback.intake_overall
intake,intake_011,"마주보는 방향 진행차량 상호 간의 사고로, 중앙선을 넘어온 맞은편 자동차와 정면으로 부딪혔어요.","[""CLARITY_EXPLICIT"", ""META_PARTY"", ""META_OPPOSITE_DIRECTION"", ""INTAKE_FULL""]",easy,explicit_keyword,,6.962966077000601,True,자동차,마주보는 방향 진행차량 상호 간의 사고,"중앙선 침범, 중앙선 침범 사고, 상대차량이 맞은편에서 진입, 마주보는 방향 진행차량 상호 간의 사고",[],[],"{""party_type"": ""자동차"", ""location"": ""마주보는 방향 진행차량 상호 간의 사고"", ""retrieval_query"": ""중앙선 침범, 중앙선 침범 사고, 상대차량이 맞은편에서 진입, 마주보는 방향 진행차량 상호 간의 사고"", ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": ""중앙선 침범""}}",True,자동차,마주보는 방향 진행차량 상호 간의 사고,[],[],[],1,1,1,1,1,1,1.0
intake,intake_012,같은 방향으로 가던 옆 자동차가 제 차로로 들어오다가 긁었습니다.,"[""CLARITY_EXPLICIT"", ""META_PARTY"", ""META_SAME_DIRECTION"", ""INTAKE_FULL""]",easy,explicit_keyword,,6.29365358799987,False,자동차,,같은 방향,"[""location""]","[""사고가 발생한 장소는 횡단보도 내, 부근, 또는 없음 중 어디인가요?"", ""사고 당시 신호등의 상태는 어땠나요?""]","{""party_type"": ""자동차"", ""location"": null, ""retrieval_query"": ""같은 방향"", ""query_slots"": {""road_control"": null, ""relation"": ""같은 방향"", ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": ""진로변경"", ""road_priority"": null, ""special_condition"": null}}",True,자동차,같은 방향 진행차량 상호간의 사고,[],[],[],0,1,0,0,1,1,0.5
intake,intake_013,주차장에서 자동차가 후진하다가 다른 차와 접촉했어요.,"[""CLARITY_IMPLICIT"", ""META_PARTY"", ""META_OTHER"", ""INTAKE_FULL""]",medium,implicit_metadata,,6.608668371998647,True,자동차,기타,"도로 외 진입, 주차장, 자동차 후진 사고",[],"[""사고가 발생한 주차장의 위치는 어디인가요?"", ""다른 차량의 진행 방향은 어땠나요?""]","{""party_type"": ""자동차"", ""location"": ""기타"", ""retrieval_query"": ""도로 외 진입, 주차장, 자동차 후진 사고"", ""query_slots"": {""road_control"": null, ""relation"": ""도로 외 진입"", ""a_signal"": null, ""b_signal"": null, ""a_movement"": ""후진"", ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",True,자동차,기타,[],[],[],1,1,1,1,1,1,1.0
intake,intake_014,차랑 사고났어요.,"[""CLARITY_INCOMPLETE"", ""META_PARTY"", ""INTAKE_PARTIAL"", ""INTAKE_FOLLOWUP""]",hard,incomplete,,5.5436636340018595,False,자동차,,,"[""location""]","[""사고가 발생한 장소는 어디인가요?"", ""사고의 구체적인 상황을 설명해 주실 수 있나요?""]","{""party_type"": ""자동차"", ""location"": null, ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",False,자동차,,"[""location""]","[""사고 상황""]","[{""location"": ""교차로 사고""}]",1,1,1,1,0,1,0.8333333333333334
intake,intake_015,비슷한 기준 찾아줘.,"[""CLARITY_INCOMPLETE"", ""INTAKE_NONE"", ""INTAKE_FOLLOWUP""]",hard,incomplete,,5.398359197002719,False,,,,"[""party_type"", ""location""]","[""어떤 사고 유형에 대해 비슷한 기준을 찾고 싶으신가요?"", ""사고의 구체적인 상황이나 세부사항을 알려주실 수 있나요?""]","{""party_type"": null, ""location"": null, ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",False,,,"[""party_type"", ""location""]","[""상대"", ""사고""]","[{""party_type"": ""보행자""}, {""location"": ""횡단보도 내""}]",1,1,1,1,0,1,0.8333333333333334
intake,intake_016,과실비율이 뭐예요?,"[""CLARITY_INCOMPLETE"", ""INTAKE_NONE"", ""INTAKE_FOLLOWUP""]",easy,incomplete,,5.616509061997931,False,,,,"[""party_type"", ""location""]","[""사고에 관련된 주체는 무엇인가요? (보행자, 자동차, 자전거 중 선택)"", ""사고가 발생한 장소는 어디인가요? (횡단보도 내, 횡단보도 부근, 횡단보도 없음, 교차로 사고 등)""]","{""party_type"": null, ""location"": null, ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",False,,,"[""party_type"", ""location""]","[""사고 상황""]","[{""party_type"": ""자동차""}, {""location"": ""기타""}]",1,1,1,1,0,1,0.8333333333333334
intake,intake_017,횡단보도 근처인지 안인지 헷갈리는데 사람이 건너다가 사고났어요.,"[""CLARITY_DISTRACTOR"", ""META_PARTY"", ""INTAKE_PARTIAL"", ""INTAKE_FOLLOWUP""]",hard,incomplete,,6.3509746069976245,True,보행자,횡단보도 부근,,[],"[""사고가 발생한 장소에 대한 더 구체적인 정보가 있나요?"", ""사고 당시 차량의 종류나 신호 상태에 대해 알고 계신가요?""]","{""party_type"": ""보행자"", ""location"": ""횡단보도 부근"", ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",False,보행자,,"[""location""]","[""횡단보도"", ""안""]","[{""location"": ""횡단보도 내""}, {""location"": ""횡단보도 부근""}]",0,1,0,0,0,0,0.16666666666666666
intake,intake_018,상대가 자전거인지 오토바이인지 정확히 못 봤고 교차로였어요.,"[""CLARITY_DISTRACTOR"", ""META_LOCATION"", ""META_INTERSECTION"", ""INTAKE_PARTIAL"", ""INTAKE_FOLLOWUP""]",hard,incomplete,,6.213096760002372,False,,교차로 사고,상대차량이 측면에서 진입,"[""party_type""]","[""상대 차량의 종류는 보행자, 자동차, 자전거 중 어떤 것인가요?""]","{""party_type"": null, ""location"": ""교차로 사고"", ""retrieval_query"": ""상대차량이 측면에서 진입"", ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",False,,교차로 사고,"[""party_type""]","[""상대""]","[{""party_type"": ""자전거""}, {""party_type"": ""자동차""}]",1,1,1,1,1,1,1.0
intake,intake_019,횡단보도 안이었어요.,"[""CLARITY_EXPLICIT"", ""META_CROSSWALK_IN"", ""INTAKE_FOLLOWUP"", ""INTAKE_FULL""]",medium,explicit_keyword,,5.566819929001213,True,보행자,횡단보도 내,,[],[],"{""party_type"": ""보행자"", ""location"": ""횡단보도 내"", ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": null, ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",True,보행자,횡단보도 내,[],[],[],1,1,1,1,1,1,1.0
intake,intake_020,자동차였어요.,"[""CLARITY_EXPLICIT"", ""META_PARTY"", ""META_SAME_DIRECTION"", ""INTAKE_FOLLOWUP"", ""INTAKE_FULL""]",medium,explicit_keyword,,5.447643215004064,True,자동차,같은 방향 진행차량 상호간의 사고,,[],[],"{""party_type"": ""자동차"", ""location"": ""같은 방향 진행차량 상호간의 사고"", ""retrieval_query"": null, ""query_slots"": {""road_control"": null, ""relation"": null, ""a_signal"": null, ""b_signal"": null, ""a_movement"": ""추돌"", ""b_movement"": null, ""road_priority"": null, ""special_condition"": null}}",True,자동차,같은 방향 진행차량 상호간의 사고,[],[],[],1,1,1,1,1,1,1.0
